许可经营业务,发证机关,状态,营业许可证号,英文名称,经营场所,许可文号,法人,出资人,行政区划代码,旅行社名称,统一社会信用代码,办理时间
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01365,暂无,宁波市百丈东路648弄6号1－2楼,浙旅许可(2009)1343号,毛嘉恩,毛浓花/毛嘉恩,330000,宁波新世纪国际旅游有限公司,913302047281270129,2011-09-23
"国内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ30701,Jingning Holiday Travel  company,丽水市景宁畲族自治县红星街道鹤溪中路36-39号,浙旅许可(2018)82号,谭甘露,"谭甘露,夏丽红,雷土培,雷荣丽",330000,景宁假日旅游有限公司,91331127MA2A1G2M1J,2018-04-08
国内旅游业务,浙江省旅游局,有效,l-zj00641,"Huzhou New Times Travel Co., Ltd.",湖州市吴兴区天元颐城御座5幢人民路507号,浙旅许可(2009)641号,丁峰,丁峰/丁恩男,330000,湖州新时代旅游有限公司,91330502758068754P,2017-04-13
境内旅游业务,浙江省文化和旅游厅,有效,L-ZJ31618,"meet (taizhou) international travel agency co., ltd",浙江省台州市台州湾新区东部新区聚英路1300号1幢513室,浙旅许可(2022)110号,郑燕,郑燕,330000,遇见（台州）国际旅行社有限公司,91331001MABLR1Q28M,2022-06-27
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31934,"wenzhou shunshun international travel agency co., ltd",温州市鹿城区大南路温州世贸中心2802室-2,浙旅许可(2023)208号,胡巧斌,"卓缪仁,胡巧斌,董丽华",330000,温州顺顺国际旅行社有限公司,91330302MACMW1CD9H,2023-06-19
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01249,"Shaoxing Huanya Business Travel Service Co.,Ltd",浙江省绍兴市越城区树下王路15号1幢207室,浙旅许可(2009)1247号,潜润,绍兴市环亚涉外经济服务有限公司/潜润,330000,绍兴市环亚商务旅行社有限公司,91330600695279801M,2017-12-06
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ30158,"haoleyou (hangzhou) international travel agency co., ltd",浙江省杭州市拱墅区湖墅南路111号603室-6,浙旅许可(2015)144号,胡岚,"胡岚,姜松燕,孙海龙",330000,好了游（杭州）国际旅行社有限公司,9133010532815779X0,2016-06-14
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ00368,暂无,浙江省台州市椒江区白云街道星云路42号-101（自主申报）,浙旅许可（2009）368号,项丽君,"项丽君,项会领",330000,台州时代假期旅游有限公司,913310007530047947,2009-07-24
国内旅游业务,浙江省旅游局,有效,L-ZJ30589,"anji carefreetrip travel service co.,ltd",浙江省湖州市安吉县地铺街道古鄣路1幢四楼（祝建平房）,浙旅许可(2017)205号,周福佩,"周福佩,朱亚琴",330000,安吉轻程旅行社有限公司,91330523MA29KUEF17,2017-11-13
国内旅游业务,浙江省旅游局,有效,L-ZJ01376,暂无,金华市凤山街380号,浙旅许可(2009)1354号,范德军,金华市公交集团有限公司,330000,金华市安达旅游汽车服务有限公司,913307007200793784,2014-01-06
国内旅游业务,浙江省文化和旅游厅,有效,L-ZJ00720,"hangzhou lin’an renhe international travel service co.,ltd.",浙江省杭州市临安区锦北街道苕溪北街635号,浙旅许可(2009)720号,陈瑶,"章亦颖,原梦君,李群,陈瑶",330000,杭州临安人和国际旅行社有限公司,913301857494510308,2011-06-28
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31715,"huzhou  nanxun spring international tervel service co.,ltd",浙江省湖州市南浔区南浔镇朝阳路联谊新村32幢 105店面,浙旅许可(2022)208号,杨英,湖州春秋国际旅行社有限公司,330000,湖州南浔春秋国际旅行社有限公司,91330503MAC4LL258M,2022-12-05
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ31153,"huzhou moganshan high-tech tourism development co., ltd",浙江省湖州市德清县舞阳街道曲园南路707号2幢8楼804室,浙旅许可(2020)32号,王杰,湖州莫干山高新集团有限公司,330000,湖州莫干山高新旅游发展有限公司,91330521MA2B76Q35K,2020-03-19
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30861,"Zhejiang Qingchuan Travel Service Co.,Ltd.",浙江省杭州市拱墅区湖墅北路96-1号,浙旅许可(2018)242号,祝伯兴,"祝伯兴,余国刚",330000,浙江晴川旅行社有限公司,92330105MA28U5B21B,2018-11-09
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31711,"hangzhou city link travel service co.,ltd.",浙江省杭州市拱墅区体育场路218号杭州日报报业集团1009室,浙旅许可(2022)204号,邴强,杭州都市快报研学文化传播有限公司,330000,杭州橙柿旅游服务有限公司,91330103MA2KHF5A6E,2022-11-22
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30063,"Qingtian overseas Customs Travel Co., Ltd",浙江省青田县鹤城街道临江东路39号第8-9间,浙旅许可(2015)49号,暂无,蒋笑媚/姚静,330000,青田海外风情旅游有限公司,913311213298436362,2015-03-26
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00154,暂无,上城区解放路40号9幢4层405室,浙旅许可(2009)154号,周云,周云/秦卫华/吴惠芳,330000,杭州金宇旅行社有限公司,913301026798897149,2012-05-29
"国内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31097,"hangzhou yanliuhuaqiao travel service co.,ltd.",浙江省杭州市西湖区筑品金座（竞舟路1号）413室,浙旅许可(2019)207号,胡娜娜,"胡娜娜,徐健",330000,杭州烟柳画桥旅行社有限公司,91330106MA2GP3WL5K,2019-11-29
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ32054,"zhou shan greatfly travel agent ltd, com.",马岙街道白马街248号c区,浙旅许可(2023)329号,鲍坤,"鲍坤,干忠孝",330000,舟山市大飞来旅行社有限公司,91330902MACQFEB29G,2023-08-28
"国内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ30761,ningbo wangyou travel agency limited company,浙江省宁波市鄞州区桑田路783弄12-1号<1-3>,浙旅许可(2018)142号,陆文明,"陆文明,许芳芳",330000,宁波市万友旅行社有限公司,91330212MA284TNC3C,2018-06-20
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30251,zhoushan jintang international tourism center co.ltd,浙江省舟山市定海区金塘镇东风岭客运中心一楼,浙旅许可(2016)49号,王文军,舟山市金塘汇通汽车运输有限公司,330000,舟山市金塘国际旅游集散中心有限公司,913309013500843398,2016-04-21
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30414,JIA XING SHI HUI DA LV XING SHE YOU XIAN GONG SI,嘉兴市经开区华隆广场2幢北1418室-2,浙旅许可(2017)30号,孙剑,孙剑/丰杰/牛瑞林,330000,嘉兴市辉达旅行社有限公司,91330401MA28B7RY7M,2017-01-24
国内旅游业务及入境旅游业务,浙江省旅游局,有效,L-ZJ01021,暂无,诸暨市艮塔东路69号（体育馆内）,浙旅许可(2009)1021号,张幼华,张幼华,330000,诸暨春光国际旅行社有限公司,91330681684515696H,2016-06-20
国内旅游业务,浙江省旅游局,有效,L-ZJ30752,"Ningbo Fenghua New Travel International Tourism Co., Ltd..",奉化区金海路89号,浙旅许可(2018)133号,江洁滢,"江洁滢,蒋丽君,徐仁助",330000,宁波市奉化鑫旅国际旅游有限公司,91330283MA2AGD9Y8K,2018-06-12
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ02483,暂无,天台县赤城路545号,浙旅许可(2014)111号,陈丽君,陈丽君/浙江省中青国际旅游有限公司,330000,天台中青旅旅游有限公司,91331023313609343G,2014-09-04
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01329,暂无,永康市华丰中路46号二楼,浙旅许可(2009)1327号,任美雀,任美雀/任浙康/任莲清,330000,浙江省永康市康熠旅行社有限公司,91330784774365409H,2009-10-09
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ02042,暂无,湖州南园小区53幢东街292号,浙旅许可(2012)97号,张军峰,张军峰/张荣生,330000,湖州新风旅行社有限公司,91330502597217850K,2012-05-25
,浙江省文化和旅游厅,有效,L-ZJ32033,"zhoushan haocheng travel agency co., ltd",浙江省舟山市普陀区东港街道海天大道2701号舟山海中洲国际广场中楼2207室,浙旅许可(2023)308号,王磊,王磊,330000,舟山好成旅行社有限公司,91330903MACPTEYY2L,2023-08-09
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01801,暂无,雉城镇明珠二路14-16号,浙旅许可(2011)111号,沈汉民,沈汉民/徐诚/余明德/邱晓康/张世忠,330000,长兴天宏旅行社有限公司,91330522576506741D,2011-05-24
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00096,暂无,杭州市北山路８６号,浙旅许可(2009)96号,屠水芳,屠水芳/冯尧兴,330000,杭州鸿发旅行社有限公司,91330101793650790K,2009-07-02
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ30820,"hangzhou qiandaolake see the world travel agency co.,ltd.",浙江省杭州市淳安县千岛湖镇南山大街116号2幢301室,浙旅许可(2018)201号,徐志花,"徐志花,翁爱莲,方晓燕",330000,杭州千岛湖瞳界旅行社有限公司,91330127MA2CDGMF9N,2018-08-31
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30278,"zhejiang ninelei travel co.,ltd.",浙江省杭州市萧山区城厢街道通惠中路1号泰富广场1幢1602室,浙旅许可(2016)76号,方志光,方志光,330000,浙江九磊旅游有限公司,91330109MA27X14T2C,2016-05-23
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30154,"Wenzhou YYDR Travel Service CO.,LTD.",浙江省平阳县昆阳镇弓桥路40号,浙旅许可(2015)140号,陈云来,陈云来/吴爱军/李永,330000,温州悠游达人旅游有限公司,91330326336948233E,2015-09-06
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ31234,"jihe international travel agency (zhejiang) co.,ltd.",浙江省杭州市西湖区文二西路808号西溪壹号创意商务中心27幢305-4室,浙旅许可(2020)113号,陈宫平,杭州恰途科技有限公司,330000,几何国际旅行社（浙江）有限公司,91330106MA2H399L6X,2020-07-24
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30204,EASTAR TRAVEL.CO.LTD,宁波市海曙区中山西路2号（20-15）室,浙旅许可(2016)2号,应维益,应维益,330000,浙江东方星际旅游有限公司,91330203MA2814XY2C,2016-01-06
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00776,暂无,杭州余杭区临平河南埭路12号,浙旅许可(2009)776号,奚根华,奚根华,330000,杭州海阔天空旅行社有限公司,913301106623230368,2011-08-16
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30796,"Zhejiang Huanyou Online Travel Agency Co.,Ltd.",浙江省杭州市下城区东新路533号蔚蓝国际大厦1号楼426室,浙旅许可(2018)177号,应维益,"应维益,肖峰",330000,浙江欢游在线旅行社有限公司,91330103MA2B20LPX3,2018-07-20
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01191,暂无,舟山市普陀区东港街道金城街285号,浙旅许可(2009)1189号,胡贤表,胡贤表/应菊芬,330000,舟山市普陀通联旅行社有限公司,91330903773133905G,2010-04-16
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01028,"Hangzhou Chengdong Travel Agency Co.,Ltd.",杭州江干区机场路里街2号,浙旅许可(2009)1028号,苗桂林,苗贤君,330000,杭州城东旅游有限公司,913301047289368642,2017-03-29
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ32195,"ningboleyi  travel service co.,ltd.",宁波市奉化区溪口百丈路20弄2幢1号,浙旅许可(2023)472号,何国强,"何国强,叶前昊",330000,宁波市乐壹国际旅行社有限公司,91330283MAD20L544U,2023-12-29
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30088,"Hangzhou Rnxing Travel Agency Co., Ltd",杭州市西湖区文三路553号浙江中小企业大厦1705、1706、1708室,浙旅许可(2015)74号,刘萍,刘萍/刘炜/肖国军/江荣/骆子昂,330000,杭州任你行旅游有限公司,9133010639665646X2,2015-05-15
国内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ00269,暂无,浙江省天台县赤城街道东湖小区15幢109室,浙旅许可(2009)269号,胡夏芬,胡夏芬,330000,天台海峡旅行社有限公司,91331023683127843H,2009-07-14
"[
  {
    ""sortid"": 1,
    ""value"": ""境内旅游业务""
  },
  {
    ""sortid"": 2,
    ""value"": ""入境旅游",浙江省文化和旅游厅,有效,L-ZJ31352,"jinhua xingcheng information technology service co., ltd",浙江省金华市婺城区城北街道凤山街380号二楼1-3间（自主申报）,浙旅许可(2021)35号,潘敏,"杭州巽宇科技有限公司,金华市公交集团有限公司,金华新联旅游发展合伙企业（有限合伙）,唐旭炜",330000,金华行成信息技术服务有限公司,91330700343982851E,2021-03-23
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ32103,"hangzhou xiaoyao folk travel agency co.,ltd.",浙江省杭州市萧山区城厢街道通惠中路1号泰富广场1幢612室,浙旅许可(2023)378号,赵兴媛,"赵兴媛,周迎",330000,杭州逍遥民间旅行社有限公司,91330109MACCE8DHX3,2023-10-10
国内旅游业务,浙江省文化和旅游厅,有效,L-ZJ31158,"huzhou zhixing research travel co.,ltd",浙江省湖州市吴兴区学士路1号5-3幢（西校区4幢学生公寓二楼202室）,浙旅许可(2020)37号,吴金涛,"吴奇骏,吴金涛",330000,湖州知行研学旅行有限公司,91330502MA2B40G555,2020-12-09
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30287,"Hangzhou Honor Trip International Travel Co.,Ltd.",杭州市下城区绍兴路353号2号楼501室,浙旅许可(2016)85号,潘传斌,刘玉荣/罗洁兰/任应永/潘传斌,330000,杭州金誉国际旅游有限公司,91330103MA27WHKX53,2016-06-06
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ01759,暂无,浙江省舟山市定海区阳光新境4幢101室,浙旅许可（2011）69号,杨晨佳,"杨晨佳,罗凯",330000,舟山市悦海旅行社有限公司,91330901572924137N,2015-04-29
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01429,"huzhou shenzhouxing  international tourism co., ltd",湖州市凤凰路213-1号,浙旅许可（2009）1407号,赵景芳,赵景芳,330000,湖州神州行国际旅游有限公司,913305017793925966,2014-05-23
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30417,Shengsi Jiuling Travel Agency Limited Company,嵊泗县菜园镇海滨西路331号,浙旅许可(2017)33号,夏琴,夏琴/陈佳怡,330000,嵊泗久聆旅行社有限公司,91330922MA28K57L7U,2017-02-07
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ02484,qingyuan meng zhou travel service co. ltd.,浙江省丽水市庆元县濛洲街道石龙街52号原电影院,浙旅许可(2014)112号,范天福,"范天福,范秀玉",330000,庆元濛洲旅行社有限公司,9133112631369236XN,2017-12-27
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30645,JXSTLXS,浙江省嘉兴市平湖市商业文化广场A区421号,浙旅许可(2018)26号,周波,周波,330000,嘉兴顺通旅行社有限公司,91330482MA2B8XBD0Q,2018-02-07
国内旅游业务,浙江省旅游局,有效,L-ZJ30165,"jiashan yunyou travel service co.,ltd.",浙江省嘉兴市嘉善县大云镇缪家新村1086号,浙旅许可(2015)151号,金王,"金王,郭亚飞",330000,嘉善云游旅行社有限公司,913304213500782892,2018-04-17
国内旅游业务,浙江省旅游局,有效,L-ZJ00606,暂无,衢州市文景苑18幢102室,浙旅许可(2009)606号,李红,"李红,李福江,李福泉",330000,衢州绿源旅行社有限公司,91330802762519597K,2009-08-06
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ02370,暂无,临海市靖江中路178号,浙旅许可(2013)204号,李仙玉,浙江双鸽置业有限公司/李福友/黄宇,330000,临海市双鸽旅行社有限公司,91331082090983695H,2013-12-09
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ01636,"hangzhou qiandao lake lingyan travel agency co.,ltd.",浙江省杭州市淳安县千岛湖镇南山大街414号,浙旅许可(2010)158号,徐素英,徐菊芳,330000,杭州千岛湖灵岩旅行社有限公司,91330127560588762B,2014-10-09
国内旅游业务，入境旅游业务,浙江省旅游局,有效,L-ZJ01181,"quzhou qucheng travel co., ltd.",浙江省衢州市柯城区双港路218号,浙旅许可(2009)1179号,兰小成,"兰小成,李宁艳,蓝利群",330000,衢州市衢成旅游有限公司,913308027652178507,2017-01-19
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01219,chun’an  qiandao lake newyuli travel agency  co.，ltd.,浙江省杭州市淳安县千岛湖镇新安东路368号,浙旅许可(2009)1217号,叶仲华,叶仲华,330000,淳安千岛湖新玉丽旅行社有限公司,913301277882566094,2015-08-06
"国内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31103,"hangzhou haochen travel service co.,ltd.",浙江省杭州市桐庐县县城春江东路118、120号,浙旅许可(2019)213号,华倩茹,"华倩茹,张玉琴",330000,杭州昊辰旅行社有限公司,91330122MA2GPACA7C,2019-12-06
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ01662,"ningbo huayun travel service co.,ltd.",浙江省宁波市鄞州区首南街道鄞县大道中段1357号1904室,浙旅许可（2010）184号,李惠芳,"李惠芳,李彦鹏",330000,宁波华运国际旅行社有限公司,913302125638774043,2015-03-30
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31280,"yuanzhou tourism co., ltd.",临海市古城街道崇和路238号,浙旅许可(2020)159号,卢诚,远洲集团股份有限公司,330000,远洲旅业有限公司,91331082350236793P,2020-12-09
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31292,"hangzhou juntai travel agency co.,ltd.",浙江省杭州市萧山区闻堰街道万达北路256号湘湖购物中心东侧b座3号,浙旅许可(2020)171号,丁昕羽,"杭州君家酒店有限公司,应桂萍",330000,杭州君泰旅行社有限公司,91330109MA2J14FR0W,2020-12-03
国内旅游业务,浙江省旅游局,有效,L-ZJ00801,暂无,桐乡市梧桐街道茅盾东路38号（底楼东）,浙旅许可(2009)801号,蒋璐洁,"沈丽华,蒋璐洁",330000,桐乡市山水旅行社有限公司,91330483786402203J,2011-12-15
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31467,"hangzhou  shoulashou travel agency co.,ltd.",浙江省杭州市江干区景昙路279号云纺中心a座1204室,浙旅许可(2021)151号,王滨,"杨欢,王滨",330000,杭州手拉手旅行社有限公司,91330104MA2KGTKK6D,2021-08-18
国内旅游业务、入境旅游业务,浙江省旅游局,注销,L-ZJ01728,暂无,浙江省金华市婺城区通园大厦B幢B2-A号,浙旅许可(2011)38号,陈霆,浙江三清国际旅游股份有限公司,330000,浙江金华三清旅行社有限公司,91330723572930975E,2017-06-02
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30676,"Changxing Quanyu Travel Agency Co., Ltd.",长兴县林城镇北汤村,浙旅许可(2018)57号,徐海鹏,"徐海鹏,金国海",330000,长兴全域旅行社有限公司,91330522MA2B3XJG91,2018-03-07
国内旅游业务,浙江省文化和旅游厅,有效,L-ZJ01164,"shaoxing  yue  du  travel  co.,  ltd",绍兴市延安东路18号,浙旅许可(2009)1162号,裘晓明,"裘晓明,王利英",330000,绍兴市越都旅游有限公司,91330600733233987E,2010-12-28
"国内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ30244,"tonglu cloudtrip agency co.,ltd.",浙江省杭州市桐庐县县城云栖西路288号105室,浙旅许可(2016)42号,王晓芬,"王晓芬,张华慧",330000,桐庐云游旅行社有限公司,91330122MA27W7HK2C,2016-04-01
国内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ02172,"lishui chunqiu travel co.,ltd",浙江省丽水市莲都区寿元街12号,浙旅许可(2013)6号,朱宁,朱宁、李娅,330000,丽水市春秋旅行社有限公司,9133110206058241XR,2016-05-24
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30192,zhong guo guo lv(tai zhou)guo ji lv xing she you xian gong si,浙江省台州市东海大道360号,浙旅许可(2015)177号,苏剑平,中国国旅(宁波)国际旅行社有限公司,330000,中国国旅（台州）国际旅行社有限公司,91331000355377704G,2015-12-07
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31564,"zhejiang anji jiangnan tiachi tourism development co.,ltd",浙江省湖州市安吉县天荒坪镇天荒坪电站上库区,浙旅许可(2022)56号,王安培,浙江钱源旅游开发股份有限公司,330000,浙江安吉江南天池旅游开发有限公司,913305236671179797,2022-04-26
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00392,暂无,宁海县岔路镇兴中路1号（住宅）,浙旅许可(2009)392号,郑辛辉,郑丹娜/郑辛辉,330000,宁海县千百度旅行社有限公司,913302266712145871,2016-10-10
境内旅游业务,浙江省文化和旅游厅,有效,L-ZJ00806,"jiande sail travel agency co.,ltd.",建德市新安江街道江滨中路619号,浙旅许可(2009)806号,胡刚,浙江建德富春江国家森林公园旅游有限公司,330000,建德市扬帆旅行社有限公司,913301827936804122,2012-05-02
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31643,"jinhua fanhai  international travel service co.,ltd.",浙江省金华市婺城区西关街道双龙南街1151号综合楼1905室,浙旅许可(2022)136号,张苗,"潜翠芳,张苗",330000,金华泛海国际旅行社有限公司,91330701MABTQ43T2R,2022-07-28
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00575,暂无,宁波北仑新大路1069号40幢1号B座104室,浙旅许可(2009)575号,董鸿安,宁波职业技术学院资产经营有限责任公司,330000,宁波大港旅行社有限公司,91330200665561021M,2016-05-23
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00486,"hangzhou everbright travel co., ltd.",浙江省杭州市西湖区天目山路238号华鸿大厦1号楼304-3室,浙旅许可(2009)486号,王凯,"王凯,沈叶青",330000,杭州光大旅游有限公司,91330105725879729M,2017-12-29
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ32186,xiaoyao,嵊州市三江街道仙景花苑7号,浙旅许可(2023)463号,徐勇,"徐勇,黄卫平",330000,嵊州市逍遥旅行社有限公司,91330683MACW7U0675,2023-12-27
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ32153,"hangzhou tianlanlan travel service co.,ltd.",浙江省杭州市上城区望江路69号八达大厦1301室-06,浙旅许可(2023)429号,陶琴,"和创丰硕（杭州）企业管理有限公司,陶琴",330000,杭州天蓝蓝旅游服务有限公司,91330102MACJRNB14E,2023-11-30
"国内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ01370,暂无,浙江省金华市婺城区亚峰路80号5幢3单元201室,浙旅许可(2009)1348号,陈晓瑾,陈晓瑾,330000,金华东方旅游有限公司,91330701704535513X,2009-10-16
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01568,"yueqing guangda travel service.co.,ltd.",乐清市乐成街道乐怡路151号,浙旅许可(2010)90号,王建林,暂无,330000,乐清市光大旅行社有限公司,91330382554787140L,2017-10-19
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ02099,"jiaxing wanjiale travel agency co.,ltd.",浙江省嘉兴市平湖市当湖街道当湖西路425号二层201室,浙旅许可(2012)154号,顾惠花,顾惠花,330000,嘉兴万家乐旅行社有限公司,91330482052846614N,2018-04-24
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ31114,"zhejiang yizhou international tourism co., ltd",浙江省舟山市定海区白泉镇瑞金路2号217室,浙旅许可(2019)224号,张耀内,"张耀内,黄晨耀",330000,浙江逸舟国际旅行社有限公司,91330900MA2A3ERX6N,2019-12-17
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01592,暂无,假山路8号新青年广场1幢1404室,浙旅许可(2010)114号,朱国庆,朱国庆/孙翰,330000,杭州国瀚旅行社有限公司,91330105555181802Y,2010-05-27
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ02026,Hangzhou Huangting HolidayTravelCo.，Ltd,杭州余杭区余杭街道城南路22#-1,浙旅许可(2012)81号,汪剑飞,汪剑飞/孙金伟,330000,杭州煌廷假日旅行社有限公司,91330110593093299J,2016-12-02
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31415,lishui shell travel agency limited,浙江省丽水市莲都区紫金路636号四楼,浙旅许可(2021)99号,刘文付,"徐小伟,雷振飞,刘文付,王琳艳",330000,丽水市贝壳旅行社有限公司,91331102MA2HKDN66L,2021-06-09
"国内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ30965,lishui tulu cultural tourism co.，ltd.,浙江省丽水市莲都区龙门岭小区2幢1单元302室,浙旅许可(2019)75号,兰雪芬,"兰雪芬,李秋丹",330000,丽水途鹿文化旅游有限公司,91331102MA2E0YPEXR,2019-04-16
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ32087,"liuhuan international travel service(hangzhou)co.,ltd.",浙江省杭州市拱墅区新北街26号世嘉新座5幢804室(自主申报）,浙旅许可(2023)362号,刘和珍,"刘和珍,顾丁",330000,六环国际旅行社（杭州）有限公司,91330105MACJ7YKX4J,2023-09-21
国内旅游业务,浙江省文化和旅游厅,有效,L-ZJ31132,nningbo lecheng cultural tourism limited company,宁波市奉化区锦屏街道广平路255幢15、16号,浙旅许可(2020)7号,胡迪,胡迪,330000,宁波乐程文化旅游有限公司,91330283MA2GWKCK4L,2020-01-19
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01712,HANGZHOU FUYANG SHUYE TRVEAL SERVICE,杭州富阳区富春街道城西街75号,浙旅许可(2011)22号,叶华,叶华/付连娣,330000,杭州富阳树叶旅行社有限公司,913301835687604087,2016-01-28
境内旅游业务,浙江省文化和旅游厅,有效,L-ZJ31668,zhejiangjinlu,浙江省诸暨市浣东街道高湖东路7号永丰花园5幢000105,浙旅许可(2022)161号,蔡白潞,蔡白潞,330000,浙江锦潞旅行社有限公司,91330681MA2LMF9H7R,2022-09-01
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30672,"Hangzhou Shuntu Travel Service Co.,Ltd.",浙江省杭州市上城区高官弄1号209室,浙旅许可(2018)53号,徐春华,"徐春华,李巍",330000,杭州顺途旅行社有限公司,91330102MA2AYF4E6U,2018-02-27
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00887,暂无,浙江省青田县鹤城镇鹤城东路20号,浙旅许可(2009)887号,王小平,青田茂源长运有限公司/占秀华,330000,青田县旅游集散中心,9133112170476202X6,2009-08-24
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31719,"zhuojing international travel service (zhejiang) co.,ltd.",浙江省杭州市余杭区余杭街道禹航路222号205室,浙旅许可(2022)212号,侯军成,"张国勇,侯军成",330000,卓景国际旅行社（浙江）有限公司,91330102MA2KHDMQX2,2022-12-07
境内旅游业务,浙江省文化和旅游厅,有效,L-ZJ31696,"wenzhou changlv international tourism co., ltd",浙江省温州市泰顺县泰景路182号,浙旅许可(2022)189号,韩信哲,韩信哲,330000,温州畅旅国际旅游有限公司,91330329MAC16FW90P,2022-10-25
