许可经营业务,发证机关,状态,营业许可证号,英文名称,经营场所,许可文号,法人,出资人,行政区划代码,旅行社名称,统一社会信用代码,办理时间
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ01595,"hangzhou kaile business travel co.,ltd.",浙江省杭州市余杭区仓前街道文一西路1324号利尔达物联网科技园6号楼701室,浙旅许可(2010)117号,周志炎,"吴俊,周志炎",330000,杭州凯莱商务旅行社有限公司,913301055579100792,2010-06-13
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ02131,"hangzhou wanji international travel co.,ltd.",浙江省杭州市上城区西湖大道1号外海西湖国贸大厦1102室-1(自主中报),浙旅许可(2012)186号,洪新根,"洪新根,陈燕",330000,杭州万吉国际旅游有限公司,91330102056734222F,2012-12-03
国内旅游业务,浙江省旅游局,有效,L-ZJ01005,"changxing wanhong traffic travel co.,ltd.",长兴县雉城街道县前中街355号（长兴县城区中心 广场公交枢纽站）,浙旅许可(2009)1005号,许俭明,许俭明,330000,长兴万宏交通旅行有限公司,91330522751170182N,2011-04-18
国内旅游业务,浙江省旅游局,有效,L-ZJ30684,Longongzi Travel Service,台州市椒江区葭沚街道新景社区白云山西路1314号,浙旅许可(2018)65号,苏志挺,苏志挺,330000,浙江龙公子旅游有限公司,91331002MA2AM1CY79,2018-03-15
境内旅游业务,浙江省文化和旅游厅,有效,L-ZJ31903,"jiaxing?longxing?international?tourism?co.,?ltd",浙江省嘉兴市南湖区南湖街道农翔路232号1-2层,浙旅许可(2023)177号,贾书琴,贾书琴,330000,嘉兴龙行国际旅游有限公司,91330402MACH6JDQ4E,2023-05-26
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30785,"Zhejiang Huijing Travel Co.,Ltd.",浙江省杭州市江干区财富金融中心2幢903室,浙旅许可(2018)166号,胡芬敏,"周福星,胡芬敏,李翔",330000,浙江荟景旅游有限公司,91330104MA27XKEY9Q,2018-07-10
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31460,huzhou changxing international travel service co.ltd,浙江省湖州市吴兴区环渚街道万象商业广场e幛e1307室,浙旅许可(2021)144号,吴冬梅,"吴冬梅,许江枫",330000,湖州畅行国际旅行社有限公司,91330502MA2JJQBA4N,2021-06-22
"国内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31027,"chunan qiandaohu fun travel agency co.,ltd.",浙江省杭州市淳安县千岛湖镇排岭北路54幢007室,浙旅许可(2019)137号,方双琴,方双琴,330000,淳安千岛湖趣玩旅行社有限公司,91330127MA2GM6XD8Y,2019-07-26
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00271,暂无,天台新客运中心（天台山西路501号）,浙旅许可(2009)271号,陈帮镇,天台公路运输总公司/天台友谊汽车出租公司,330000,浙江省天台交通旅游有限公司,91331023745826026M,2009-07-14
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ30486,"hangzhou changlong travel agency co., ltd.",浙江省杭州市拱墅区绍兴路347号华洲创业大楼1号写字楼4楼415室,浙旅许可(2017)102号,康吉祥,"康吉祥,娄华英",330000,杭州长龙旅行社有限公司,91330104MA2806MP9D,2017-05-19
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00040,暂无,仙居县城关环城南路429号,浙旅许可(2009)40号,刘建国,浙江省仙居安达汽车运/吴玉华,330000,仙居县安达交通旅游有限公司,913310247511787822,2009-06-25
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31595,"hangzhou hituanjian travel agency co.,ltd.",浙江省杭州市西湖区西溪街道教工路198号浙商大创业园6幢南4层402室,浙旅许可(2022)87号,卢康生,"郁希婷,卢康生",330000,杭州嗨团建旅行社有限公司,91330106MA2CFGAM0L,2022-05-31
"国内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ00388,"hangzhou commun travel agency co.,ltd.",浙江省杭州市下城区河东路17号,浙旅许可(2009)388号,宋华山,"杭州一运投资集团有限公司,宋华山",330000,杭州交通旅行社有限公司,913301037332390865,2009-07-30
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31165,"jinhua heyu tourism co., ltd",浙江省金华市婺城区通园大厦b座801号,浙旅许可(2020)44号,汪建国,"汪建国,李华",330000,金华和誉旅游有限公司,91330702MA2EEEYW64,2020-04-07
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ02037,暂无,舟山市普陀山法雨路115号327室,浙旅许可(2012)92号,徐雅芬,徐雅芬,330000,舟山市普陀山同趣旅行社,91330901597232452L,2012-05-22
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ30397,"zhejiang port international travel service co.,ltd.",浙江省杭州市萧山区宁围街道江南明城4幢3单元901室,浙旅许可(2017)13号,戚国锋,"戚国锋,蔡晶晶",330000,浙江口岸国际旅行社有限公司,91330100MA27YDNM40,2017-01-13
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ02444,"wen zhou enjoy international travel service co., ltd.",浙江省温州市鹿城区新城大道发展大厦1302室北首,浙旅许可(2014)72号,郑一帆,"郑一帆,杨亚伟",330000,温州尊享国际旅游服务有限公司,913303023074509116,2014-05-20
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31296,"anji xingmeng travel service agency co.,ltd.",浙江省湖州市安吉县昌硕街道天荒坪中路126号,浙旅许可(2020)175号,徐玮蔚,"徐玮蔚,郑维松",330000,安吉星盟旅行社有限公司,91330523MA2D54A39L,2020-12-09
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30507,"Hangzhou Hongyan Travel Service Co.,Ltd.",杭州市西湖区省府路9号东侧一层,浙旅许可(2017)123号,凌瑛,海宁红岩影视文化有限公司,330000,杭州红岩旅游服务有限公司,91330106MA28LF7N6C,2017-06-16
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ32225,"cangnan jiayou international travel service co., ltd.",浙江省温州市苍南县灵溪镇学士路450号,浙旅许可(2024)30号,麻晓娟,"浙江嘉顺国际旅游有限公司,黄芬完,林珍",330000,苍南嘉游国际旅游有限公司,91330327MADAE19A8Y,2024-01-26
国内旅游业务、入境旅游业务,浙江省旅游局,注销,L-ZJ01459,暂无,桐乡市梧桐街道振兴东路商贸区2幢201室,浙旅许可(2009)1437号,朱姬睿,朱姬睿/朱长兴,330000,桐乡市江南旅行社有限公司,913304836995018606,2009-12-14
国内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ30700,"ningbo kangcheng  international travel co., ltd",浙江省宁波市鄞州区大步街104-305号（3-5）,浙旅许可（2018）81号,徐国源,"徐国源,王忠杰",330000,宁波康程国际旅行社有限公司,91330212MA2AGQBN65,2018-04-08
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ00001,"hangzhou lvyuan international travel service co.,ltd",萧山区杭州萧山高教园区浙江旅院后勤服务有限公司旅苑酒店207-209室,浙旅许可(2009)1号,邵仲铭,浙江旅游职业学院,330000,杭州旅苑国际旅行社有限公司,91330109691702385H,2015-03-20
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ01664,"ningbo risen international travel service co,.ltd",浙江省宁波市海曙区南站东路16号（5-14）室（集中办公区）,浙旅许可（2010）186号,郭薇,郭薇,330000,宁波瑞森国际旅行社有限公司,91330204563889173R,2014-04-28
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30738,JXQCLXS,嘉兴市经开区中环南路中核大楼1幢401-A,浙旅许可(2018)119号,安岭,"安岭,马敏",330000,嘉兴趣程旅行社有限公司,91330401MA2B9K5E0W,2018-05-22
"国内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ00864,暂无,浙江省台州市温岭市太平街道中华路476弄17号,浙旅许可(2009)864号,林春燕,"林春燕,陈诚,张玉娥",330000,温岭市观光旅行社有限公司,91331081660567643Q,2016-06-07
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30816,Zhejiang Le Chang Tourism,浙江省衢州市江山市虎山街道景星东路298-3号,浙旅许可(2018)197号,郭春光,"浙江厚德兴业生物科技有限公司,郭春光",330000,浙江乐畅旅游发展有限公司,91330881MA29UR2W0C,2018-08-24
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00016,"Yueqing hongsheng keyun Travel Service CO.,LTD",乐清市城南街道宁康西路499号,浙旅许可(2009)16号,郑岩都,郑岩都,330000,乐清市鸿胜旅游客运有限公司,91330382788801347L,2017-07-03
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30516,"zhejiang kangda travel agency co.,ltd",浙江省金华市婺城区云天大厦y幢106室,浙旅许可(2017)132号,诸葛昕,"诸葛昕,张海英",330000,浙江康达旅行社有限公司,91330701MA29M3P30B,2017-06-23
国内旅游业务、入境旅游业务,浙江省旅游局,注销,L-ZJ01435,暂无,萧山区城河街88号,浙旅许可(2009)1413号,宣舒平,杭州萧山日报传媒有限公司/浙江海内外商务旅游有限公司,330000,杭州萧报国际旅行社有限公司,9133010969709312XA,2009-12-04
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ00204,"chunan qiandaohu huaxia travel service co.,ltd.",浙江省杭州市淳安县千岛湖镇梦姑路88号星岛印象度假酒店102室,浙旅许可(2009)204号,许春荣,"许春荣,胡丽娟",330000,淳安千岛湖华夏旅行社有限公司,91330127779252219M,2010-08-04
境内旅游业务,浙江省文化和旅游厅,有效,L-ZJ31612,shenghang tourism,浙江省余姚市四明西路356号,浙旅许可(2022)104号,邵文意,邵文意,330000,余姚市胜航国际旅行社有限公司,91330281MA2KN7R05K,2022-06-20
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ32028,jiaxing want to play travel agency,嘉兴市禾兴路精严寺街众安商务中心店面487号,浙旅许可(2023)303号,陈建升,陈建升,330000,嘉兴想去玩国际旅行社有限公司,91330402MACPF0B708,2023-08-03
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ32071,"lishui kunpeng cultural tourism development co., ltd",浙江省丽水市松阳县古市镇黄岗坑6a号2楼,浙旅许可(2023)346号,叶茂金,"叶茂金,林兴连",330000,丽水鲲鹏文化旅游发展有限公司,91331102MA2E2Q7Q2R,2023-09-13
"国内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ30938,quzhou huantu tourism co. ltd.,浙江省衢州市柯城区九华北大道185号(冠发君悦大酒店102室）,浙旅许可(2019)48号,刘加佳,"刘加佳,翁黎霞",330000,衢州欢途旅游有限公司,91330800MA2DGELT9P,2019-03-12
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31503,"hangzhou sanjiang cross strait tourism co.,ltd.",浙江省杭州市余杭区五常街道飞鸟客商务中心3幢514室,浙旅许可(2021)187号,练绪锋,孙琴,330000,杭州三江两岸旅业有限公司,91330110MA2KD98W7Y,2021-12-14
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31897,"ningbo mufan international travel agency co., ltd",浙江省宁波市北仑区新碶街道泰山路339号（银泰城）1幢339号二期1f-01601-a-1,浙旅许可(2023)171号,胡凯,胡凯,330000,宁波牧帆国际旅行社有限公司,91330206MAC8DTTJ6G,2023-05-22
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01932,暂无,遂昌县妙高街道下南门路69-71号,浙旅许可(2011)242号,李剑,李剑/鲍巧媛,330000,遂昌黄金旅游有限公司,91331123589043686J,2012-06-16
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ00371,"hangzhou oasis international travel agency co.,ltd.",杭州富阳区富春街道文教路1号,浙旅许可(2009)371号,余宏,"史汶根,叶卿,吴田明,唐少华,富阳富春宾馆有限公司,盛生根",330000,杭州绿洲国际旅行社有限公司,9133018369172551XA,2013-08-26
国内旅游业务、入境旅游业务,浙江省旅游局,注销,L-ZJ01371,暂无,浦江县人民东路89号,浙旅许可(2009)1349号,项珍珍,项珍珍,330000,浦江县丽江旅行社有限公司,91330726683141506W,2012-06-25
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30163,"Ningbo July Travel Agency Co., LTD",宁波天童北路931号和邦大厦B座632室,浙旅许可(2015)149号,唐红儿,唐红儿/毛亚萍/卓灵娇/林艳,330000,宁波柒月假日旅行社有限公司,91330212340531967F,2015-09-29
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ32031,"anji tianxuan travel service co.,ltd.",湖州市安吉县昌硕街道花鸟市场40号2幢h40室2楼,浙旅许可(2023)306号,夏金金,夏金金,330000,安吉天轩旅行社有限公司,91330523MACRT4B96N,2023-08-07
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ30316,"zhejiang railway business&tourism development service co.,ltd.",浙江省温州市人民西路锦园大厦16层1601室,浙旅许可(2016)114号,李密,浙江金温铁道开发有限公司,330000,浙江铁投商旅开发有限公司,91330300MA285GGM0J,2016-08-04
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01442,暂无,宁波市鼓楼公园路26弄63号,浙旅许可(2009)1420号,应旭辉,应旭辉/陈娜勋,330000,宁波朝辉国际旅行社有限公司,913302036982101054,2012-03-29
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ30465,"panan tourism distribution center co.,ltd",浙江省金华市磐安县安文街道花溪路527号4幢(自主申报),浙旅许可(2017)81号,胡黎明,磐安县旅游发展有限公司,330000,磐安旅游集散中心有限公司,91330727MA28QW0T4U,2017-04-27
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ02137,"hangzhou gaoxiang travel service co., ltd.",浙江省杭州市西湖区益乐路39号蓝海时代国际大厦2幢601室,浙旅许可(2012)192号,曹康,潘涛,330000,杭州高翔旅行社有限公司,91330105056739103A,2017-06-19
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ01675,"hangzhou little donkey travel agency co.,ltd.",浙江省杭州市拱墅区上塘路966号2幢一层102室,浙旅许可(2010)197号,陈海燕,"吕旭初,陈海燕,汪惠泉",330000,杭州小毛驴旅行社有限公司,91330105566099855L,2012-09-13
境内旅游业务,浙江省文化和旅游厅,有效,L-ZJ00015,"zhejiang xingda tourism  service co.,ltd",浙江省衢州市柯城区花园街道通衢街18号凯泰汽配城2幢760-1号,浙旅许可(2009)15号,吕敏涛,"周尚靖,衢州市创捷文化旅游合伙企业（有限合伙）",330000,浙江星达旅游服务有限公司,91330802740503885R,2014-04-17
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30584,"Zhoushan Zhicheng Travel Agency Co.,Ltd.",浙江省舟山市普陀区东港街道海印路765号海景时代广场3号楼1023室,浙旅许可(2017)200号,王善棚,王善棚/魏红梅,330000,舟山市至诚旅行社有限公司,91330903MA28KXDMX0,2017-11-06
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00995,"anji shanshui tourism development co., ltd.",安吉县昌硕街道建材市场10幢20号,浙旅许可(2009)995号,叶照龙,叶照龙,330000,安吉山水旅游发展有限公司,91330523757059514Y,2009-08-24
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ30403,hangzhou fengxing travel agency co.，ltd.,浙江省杭州市上城区彭埠街道东宁路553号2层2101室,浙旅许可(2017)19号,胡银枝,胡银枝,330000,杭州丰行旅行社有限公司,91330102MA2802HM12,2017-01-17
"[
  {
    ""sortid"": 1,
    ""value"": ""境内旅游业务""
  },
  {
    ""sortid"": 2,
    ""value"": ""入境旅游",浙江省文化和旅游厅,有效,L-ZJ01283,"yongkang dadi travel agency co.,ltd",浙江省金华市永康市江南街道城南路575号一楼,浙旅许可(2009)1281号,赵钢,赵钢,330000,永康市大地旅行社有限公司,91330784676179338C,2017-12-13
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ01075,daishan transportatiou agency co.ltd,浙江省舟山市岱山县高亭镇衢山大道999号车站前广场北侧东二间,浙旅许可(2009)1075号,夏华波,岱山县仙岛旅游投资发展有限公司,330000,岱山交通旅行社有限公司,91330921760179111F,2012-06-06
"国内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31147,shaoxing boundless tourism co. ltd,浙江省绍兴市柯桥区中纺国际时尚中心7号楼一层西侧（承诺申报）,浙旅许可(2020)26号,吴敏捷,吴敏捷,330000,绍兴无界旅游有限公司,91330621MA2D6E1U56,2020-01-20
