机构注册资金,机构地址,机构名称,机构批准机关,评估机构代码,机构批准文号,机构法人代表_首席合伙人_,证照类型名称,批准日期
10.0,长兴县雉城金陵中路211号,湖州中辰国瑞资产评估事务所,浙江省财政厅,33020117,浙财会[2001]99号,羊印敏,资产评估执业证书,2000-11-06
30.0,绍兴市上虞区百官街道市民大道588号五洲大厦5楼,绍兴同济资产评估管理有限公司,浙江省财政厅,33020138,浙国资评[1999]89号,王胜万,资产评估执业证书,1999-12-17
10.0,湖州市南街115号,湖州嘉业资产评估事务所,浙江省财政厅,33080035,浙财会字[2008]97号,汤凤妹,资产评估执业证书,2008-08-22
100.0,杭州市西湖区万塘路51号地质环境研究大楼7层701室,浙江浩华资产评估有限公司,浙江省财政厅,33070004,浙财会字[2007]26号,李凤云,资产评估执业证书,2007-04-23
30.0,苍南县灵溪镇玉苍路392号,苍南大华资产评估有限公司,浙江省财政厅,33070005,浙财会字[2007]18号,刘崇沛,资产评估执业证书,2007-03-07
30.0,义乌市义东路71－1号,义乌至诚资产评估房地产估价有限公司,浙江省国有资产管理局,33020061,浙国资评（1999）72号,丁兆民,资产评估执业证书,2000-03-23
100.0,杭州市环城北路141号西楼1101室,北京中天和资产评估有限公司杭州分公司,浙江省财政厅,21020015-331101,浙财会[2011]44号,周彪,资产评估执业证书,2011-11-07
50.0,绍兴市中兴路188号中兴高层公寓1号楼6层A座,绍兴市平准资产评估有限公司,浙江省财政厅,33020098,浙财会字（2001）99号,朱天安,资产评估执业证书,2001-12-31
18.0,杭州市萧山区北干街道金城路458号杭州萧山国际商务中心2幢1802室-2,杭州萧永资产评估事务所,浙江省财政厅,33090005,浙财会字[2009]76号,马开春,资产评估执业证书,2009-11-25
10.0,安吉县递铺镇胜利路西端阳光大厦,安吉振兴资产评估事务所,浙江省财政厅,33020101,浙财会字（2001）99号,褚清荣,资产评估执业证书,2001-12-31
10.0,湖州市天元商务楼6幢601室-1,湖州冠民资产评估事务所,浙江省财政厅,33080036,浙财会字[2008]93号,张菁,资产评估执业证书,2008-08-05
30.0,杭州市中河中路250号十三层3室,杭州金孚资产评估有限公司,浙江省财政厅,33080003,浙财会字[2008]1号,袁维伟,资产评估执业证书,2008-01-08
50.0,海盐县武原镇新桥北路180号,海盐中联资产评估有限公司,浙江省国有资产管理局,33020107,浙国资评（2000）32号,王志方,资产评估执业证书,2000-01-24
30.0,台州市市府大道406号总工会大楼西楼,台州安信天一资产评估有限公司,浙江省财政厅,33080030,浙财会字[2008]83号,丁安莉,资产评估执业证书,2008-07-21
100.0,杭州市上城区中河中路250号1802室,浙江浙天允资产评估有限公司,浙江省财政厅,33080004,浙财会字[2008]3号,徐永标,资产评估执业证书,2008-01-07
100.0,杭州市体育场路508号浙江地矿科技有限公司5楼,万邦资产评估有限公司杭州分公司,浙江省财政厅,30040001-331001,浙财会字[2009]48号,任丕华,资产评估执业证书,2009-08-10
30.0,湖州市威莱大街283号,湖州新力资产评估有限公司,浙江省财政厅,33020099,浙财会字（2001）99号,蔡少伟,资产评估执业证书,2001-12-31
50.0,杭州市体育场路379号运务大楼619室,浙江武林资产评估有限公司,浙江省财政厅,33020018,浙财会字（2001）47号,王颖红,资产评估执业证书,2001-07-11
30.0,吴宁镇和平路19号,东阳明鉴资产评估有限公司,浙江省国有资产管理局,33020065,浙国资评（2000）20号,叶长青,资产评估执业证书,2000-01-10
200.0,杭州市环城北路57号杭州喜得宝大酒店五楼5004室,浙江天汇资产评估有限公司,浙江省财政厅,33050003,浙财会字[2005]61号,陈金德,资产评估执业证书,2005-09-28
10.0,萧山区萧山经济开发区大成名座2幢4单元2801室,杭州信丰资产评估事务所,浙江省财政厅,33120001,浙财会[2012]31号,倪伟伟,资产评估执业证书,2012-08-24
200.0,缙云县五云镇好溪路11号,浙江大恒资产评估有限公司,浙江省财政厅,33080024,浙财会字[2008]80号,陈理清,资产评估执业证书,2008-07-21
100.0,绍兴市胜利东路405号国贸大厦7楼702-3室,绍兴天泉资产评估有限公司,浙江省财政厅,33070012,浙财会字[2007]94号,葛劲夫,资产评估执业证书,2007-11-28
10.0,嵊州市嵊州大道558号东浦实业大厦三楼,嵊州大诚联合资产评估事务所,浙江省财政厅,33080020,浙财会字[2008]68号,尹笑娴,资产评估执业证书,2008-06-26
30.0,杭州市潮王路218号805室,杭州诚信资产评估有限公司,浙江省国有资产管理委员会,33020036,浙国资委办（2000）58号,陈纪萍,资产评估执业证书,2000-07-03
30.0,湖州市现代广场3幢1619-1620室,湖州正诚资产评估事务所,浙江省财政厅,33070003,浙财会字[2007]22号,朱峰,资产评估执业证书,2007-03-21
30.0,杭州市萧山区金城路560号心意广场2号楼1001室,杭州萧审资产评估有限公司,浙江省国有资产管理局,33020034,浙国资评（1999）62号,陈原,资产评估执业证书,1999-12-07
10.0,杭州市西湖区体育场路580号1号楼5楼510室,北京中同华资产评估有限公司浙江分公司,浙江省财政厅,11020005-331201,浙财会[2012]30号,胡建娟,资产评估执业证书,2012-08-22
50.0,绍兴柯岩街道谢秋公路以东新未庄,绍兴中兴资产评估有限公司,浙江省国有资产管理局,33020057,浙国资评（2000）48号,金文高,资产评估执业证书,2000-03-06
200.0,杭州市江干区新塘路元华旺座中心1幢2001室,浙江中企华资产评估有限公司,浙江省国有资产管理局,33020104,浙国资评（2000）137号,吕鑫尧,资产评估执业证书,2000-01-10
10.0,桐乡市振兴东路金都商务楼3楼,桐乡市方联资产评估事务所,浙江省财政厅,33050004,浙财会字[2005]72号,邱学文,资产评估执业证书,2005-11-03
30.0,衢州市新桥街134号,衢州永泰资产评估有限公司,浙江省财政厅,33080031,浙财会字[2008]85号,夏志宏,资产评估执业证书,2008-07-28
