Academic Year,Institution (English),Institution (Chinese),Level of study (English),Level of study (Chinese),Programme type (English),Programme type (Chinese),Programme name (English),Programme name (Chinese),Areas of Study,Areas of Study (Chinese),Normal programme duration
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Sciences with Honours in Politics and Public Administration (Full-time) - Year 3 Entry,政治及公共行政榮譽社會科學學士（全日制）- 第三年,Social Sciences,社會科學,2
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Sciences with Honours in Psychology (Full-time) - Year 2 Entry,心理學榮譽社會科學學士（全日制）- 第二年,Social Sciences,社會科學,3
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Sciences with Honours in Psychology (Full-time) - Year 3 Entry,心理學榮譽社會科學學士（全日制）- 第三年,Social Sciences,社會科學,2
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Sciences with Honours in Psychology and Mental Health (Full-time) - Year 2 Entry,心理學與精神健康榮譽社會科學學士（全日制）- 第二年,Social Sciences,社會科學,3
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Sciences with Honours in Psychology and Mental Health (Full-time) - Year 3 Entry,心理學與精神健康榮譽社會科學學士（全日制）- 第三年,Social Sciences,社會科學,2
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Sports and Recreation Management with Honours (Full-time) - Year 2 Entry,運動及康樂管理榮譽學士（全日制）- 第二年,Services,服務,3
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Sports and Recreation Management with Honours (Full-time) - Year 3 Entry,運動及康樂管理榮譽學士（全日制）- 第三年,Services,服務,2
2023/24,Hong Kong Nang Yan College of Higher Education,香港能仁專上學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Chinese Programme,中文(榮譽)文學士學位課程,Languages and Related Studies,語言及相關科目,4
2023/24,Hong Kong Nang Yan College of Higher Education,香港能仁專上學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Honours) in Accounting Programme,會計(榮譽)工商管理學士學位課程,Business and Management,商業及管理,4
2023/24,Hong Kong Nang Yan College of Higher Education,香港能仁專上學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Work (Honours) Programme,社會工作(榮譽)學士課程,Social Sciences,社會科學,4
2023/24,Hong Kong Nang Yan College of Higher Education,香港能仁專上學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Health Management in an Ageing Society Programme,老齡化社會健康管理高級文憑課程,Services,服務,2
2023/24,Hong Kong Nang Yan College of Higher Education,香港能仁專上學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Chinese Programme - Year 3 Entry,中文(榮譽)文學士學位課程 - 三年級,Languages and Related Studies,語言及相關科目,2
2023/24,Hong Kong Nang Yan College of Higher Education,香港能仁專上學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Honours) in Accounting Programme - Year 3 Entry,會計(榮譽)工商管理學士學位課程 - 三年級,Business and Management,商業及管理,2
2023/24,Hong Kong Nang Yan College of Higher Education,香港能仁專上學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Work (Honours) Programme - Year 3 Entry,社會工作（榮譽）學士學位課程 - 三年級,Social Sciences,社會科學,2
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Hons) in Chinese Language and Literature,中國語言文學(榮譽)文學士,Languages and Related Studies,語言及相關科目,4
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Hons) in Economics and Finance,經濟及金融學(榮譽)文學士,Business and Management,商業及管理,4
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Hons) in English,英國語言文學(榮譽)文學士,Languages and Related Studies,語言及相關科目,4
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Hons) in History,歷史學(榮譽)文學士,Humanities,人文科學,4
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Hons) in Journalism and Mass Communication,新聞與傳播(榮譽)文學士,"Mass Media and Communications, Journalism and Public Relations",大眾傳媒及傳播、新聞及公共關係,4
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Hons) in Media Design and Immersive Technology,媒體設計與虛擬實境科技(榮譽)文學士,"Mass Media and Communications, Journalism and Public Relations",大眾傳媒及傳播、新聞及公共關係,4
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Hons),工商管理學(榮譽)學士,Business and Management,商業及管理,4
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Hons) in Corporate Governance and Risk Management,工商管理學（榮譽）學士 — 企業管治及風險管理,Business and Management,商業及管理,4
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Hons) in Digital Marketing,工商管理學（榮譽）學士 — 數碼市場學,Business and Management,商業及管理,4
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Hons) in Human Resources Management - Applied Psychology,工商管理學(榮譽)學士–人力資源管理與應用心理學,Business and Management,商業及管理,4
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Commerce (Hons) in Accounting,會計學(榮譽)商學士,Business and Management,商業及管理,4
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Commerce (Hons) in Financial Technology,金融科技(榮譽)商學士,Business and Management,商業及管理,4
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Commerce (Hons) in Law and Business,法律與商業(榮譽)商學士,Business and Management,商業及管理,4
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science (Hons) in Applied Data Science,應用數據科學(榮譽)理學士,Computer Science and Information Technology,電腦科學及資訊科技,4
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Degree,學士學位,Bachelor's Degree,學士學位課程,"Bachelor of Social Sciences (Hons) in Arts, Culture and Technology",藝術﹑文化及科技(榮譽)社會科學學士,Social Sciences,社會科學,4
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Sciences (Hons) in Counselling and Psychology,輔導及心理學(榮譽)社會科學學士,Social Sciences,社會科學,4
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Sciences (Hons) in Psychology,心理學(榮譽)社會科學學士,Social Sciences,社會科學,4
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Sciences (Hons) in Sociology,社會學(榮譽)社會科學學士,Social Sciences,社會科學,4
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Work (Hons),社會工作(榮譽)學士,Social Sciences,社會科學,4
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Hons) in Chinese Language and Literature,中國語言文學(榮譽)文學士,Languages and Related Studies,語言及相關科目,3
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Hons) in Economics and Finance,經濟及金融學(榮譽)文學士,Business and Management,商業及管理,3
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Hons) in English,英國語言文學(榮譽)文學士,Languages and Related Studies,語言及相關科目,3
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Hons) in History,歷史學(榮譽)文學士,Humanities,人文科學,3
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Hons) in Journalism and Mass Communication,新聞與傳播(榮譽)文學士,"Mass Media and Communications, Journalism and Public Relations",大眾傳媒及傳播、新聞及公共關係,3
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Hons) in Media Design and Immersive Technology,媒體設計與虛擬實境科技(榮譽)文學士,"Mass Media and Communications, Journalism and Public Relations",大眾傳媒及傳播、新聞及公共關係,3
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Hons),工商管理學(榮譽)學士,Business and Management,商業及管理,3
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Hons) in Corporate Governance and Risk Management,工商管理學（榮譽）學士 — 企業管治及風險管理,Business and Management,商業及管理,3
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Hons) in Digital Marketing,工商管理學（榮譽）學士 — 數碼市場學,Business and Management,商業及管理,3
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Hons) in Human Resources Management - Applied Psychology,工商管理學(榮譽)學士–人力資源管理與應用心理學,Business and Management,商業及管理,3
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Commerce (Hons) in Accounting,會計學(榮譽)商學士,Business and Management,商業及管理,3
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Commerce (Hons) in Financial Technology,金融科技(榮譽)商學士,Business and Management,商業及管理,3
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Commerce (Hons) in Law and Business,法律與商業(榮譽)商學士,Business and Management,商業及管理,3
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science (Hons) in Applied Data Science,應用數據科學(榮譽)理學士,Computer Science and Information Technology,電腦科學及資訊科技,3
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Sciences (Hons) in Counselling and Psychology,輔導及心理學(榮譽)社會科學學士,Social Sciences,社會科學,3
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Sciences (Hons) in Psychology,心理學(榮譽)社會科學學士,Social Sciences,社會科學,3
2023/24,Hong Kong Shue Yan University,香港樹仁大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Sciences (Hons) in Sociology,社會學(榮譽)社會科學學士,Social Sciences,社會科學,3
2023/24,Lingnan University - Lingnan Institute of Further Education,嶺南大學持續進修學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Arts (History) Programme,人文學科（歷史）副學士課程,Humanities,人文科學,2
2023/24,Lingnan University - Lingnan Institute of Further Education,嶺南大學持續進修學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Business Studies (Business Management) Programme,商學(工商管理)副學士課程,Business and Management,商業及管理,2
2023/24,Lingnan University - Lingnan Institute of Further Education,嶺南大學持續進修學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Social Sciences (Psychology) Programme,社會科學（心理學）副學士課程,Social Sciences,社會科學,2
2023/24,Lingnan University - Lingnan Institute of Further Education,嶺南大學持續進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Sports Coaching and Leadership Programme,運動教練及領袖學高級文憑課程,Services,服務,2
2023/24,Lingnan University,嶺南大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Animation and Digital Arts,動畫及數碼藝術（榮譽）文學士,"Arts, Design and Performing Arts",藝術、設計、表演藝術,4
2023/24,Lingnan University,嶺南大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Honours) - Risk and Insurance Management,工商管理（榮譽）學士 - 風險及保險管理,Business and Management,商業及管理,4
2023/24,Lingnan University,嶺南大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Sciences (Honours) in Business Psychology,商業心理學（榮譽）社會科學學士,Social Sciences,社會科學,4
2023/24,Lingnan University,嶺南大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Sciences (Hons) in Global Economics and Banking,環球經濟與銀行社會科學（榮譽）學士,Business and Management,商業及管理,4
2023/24,Lingnan University,嶺南大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Animation and Digital Arts (Senior Year Entry),動畫及數碼藝術（榮譽）文學士,"Arts, Design and Performing Arts",藝術、設計、表演藝術,2
2023/24,Lingnan University,嶺南大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Translation (Senior Year Entry),翻譯（榮譽）文學士（自資）學位課程,Languages and Related Studies,語言及相關科目,2
2023/24,Lingnan University,嶺南大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Honours) - Risk and Insurance Management (Senior Year Entry),工商管理（榮譽）學士 - 風險及保險管理,Business and Management,商業及管理,2
2023/24,Lingnan University,嶺南大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Sciences (Honours) in Public Management and Smart Governance (Senior Year Entry),公共及智慧管理（榮譽）社會科學學士,Social Sciences,社會科學,2
2023/24,Lingnan University,嶺南大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Sciences (Honours) in Sports Coaching and Event Management (Senior Year Entry),運動教練學及盛事管理（榮譽）社會科學學士,Services,服務,2
2023/24,The Chinese University of Hong Kong - School of Continuing and Professional Studies,香港中文大學專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma Programme in Applied History Studies,應用歷史學高級文憑課程,Humanities,人文科學,2
2023/24,The Chinese University of Hong Kong - School of Continuing and Professional Studies,香港中文大學專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma Programme in Applied Japanese Language,應用日語高級文憑課程,Languages and Related Studies,語言及相關科目,2
2023/24,The Chinese University of Hong Kong - School of Continuing and Professional Studies,香港中文大學專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma Programme in Applied Korean Language,應用韓語高級文憑課程,Languages and Related Studies,語言及相關科目,2
2023/24,The Chinese University of Hong Kong - School of Continuing and Professional Studies,香港中文大學專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma Programme in Applied Translation Studies,應用翻譯高級文憑課程,Languages and Related Studies,語言及相關科目,2
2023/24,The Chinese University of Hong Kong - School of Continuing and Professional Studies,香港中文大學專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma Programme in Chinese,中文高級文憑課程,Languages and Related Studies,語言及相關科目,2
2023/24,The Chinese University of Hong Kong - School of Continuing and Professional Studies,香港中文大學專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma Programme in Computer Game Development,電腦遊戲開發高級文憑課程,Computer Science and Information Technology,電腦科學及資訊科技,2
2023/24,The Chinese University of Hong Kong - School of Continuing and Professional Studies,香港中文大學專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma Programme in Early Childhood Education,幼兒教育高級文憑課程,Education,教育,2
2023/24,The Chinese University of Hong Kong - School of Continuing and Professional Studies,香港中文大學專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma Programme in English Studies,英文高級文憑課程,Languages and Related Studies,語言及相關科目,2
2023/24,The Chinese University of Hong Kong - School of Continuing and Professional Studies,香港中文大學專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma Programme in Health Care,健康護理高級文憑課程,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,2
2023/24,The Chinese University of Hong Kong - School of Continuing and Professional Studies,香港中文大學專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma Programme in Multimedia and Creative Advertising,多媒體及創意廣告高級文憑課程,Computer Science and Information Technology,電腦科學及資訊科技,2
2023/24,The Chinese University of Hong Kong - School of Continuing and Professional Studies,香港中文大學專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma Programme in Public Relations and Advertising,公關及廣告高級文憑課程,"Mass Media and Communications, Journalism and Public Relations",大眾傳媒及傳播、新聞及公共關係,2
2023/24,The Chinese University of Hong Kong - School of Continuing and Professional Studies,香港中文大學專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma Programme in Recreation and Leisure Management,康樂及休閒事務管理高級文憑課程,Services,服務,2
2023/24,The Chinese University of Hong Kong - School of Continuing and Professional Studies,香港中文大學專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma Programme in Social Work,社會工作高級文憑課程,Social Sciences,社會科學,2
2023/24,The Education University of Hong Kong,香港教育大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Health Education (Honours) Programme (Two-year Full-time),健康教育榮譽學士課程 (二年全日制),Education,教育,2
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Art and Design,藝術設計（榮譽）文學士,"Arts, Design and Performing Arts",藝術、設計、表演藝術,4
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Chinese,中文(榮譽)文學士,Languages and Related Studies,語言及相關科目,4
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Convergent Media and Communication Technology,融合媒體及傳播科技(榮譽)文學士,"Mass Media and Communications, Journalism and Public Relations",大眾傳媒及傳播、新聞及公共關係,4
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Cultural and Creative Industries,文化及創意產業(榮譽)文學士,"Arts, Design and Performing Arts",藝術、設計、表演藝術,4
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in English,英國語文(榮譽)學士,Languages and Related Studies,語言及相關科目,4
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Psychology,心理學（榮譽）文學士,Humanities,人文科學,4
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Honours) in  Financial Analysis and FinTech,金融分析及金融科技工商管理（榮譽）學士,Business and Management,商業及管理,4
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Honours) in Corporate Governance and Compliance,企業管治與合規工商管理(榮譽)學士,Business and Management,商業及管理,4
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Honours) in Economics,經濟學工商管理（榮譽）學士,Business and Management,商業及管理,4
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Honours) in Finance and Banking,金融及銀行學工商管理(榮譽)學士,Business and Management,商業及管理,4
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Honours) in General Business,綜合工商管理（榮譽）學士,Business and Management,商業及管理,4
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Honours) in Global Business Management,環球商業管理工商管理(榮譽)學士,Business and Management,商業及管理,4
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Honours) in Human Resource Management,人力資源管理工商管理（榮譽）學士,Business and Management,商業及管理,4
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Honours) in Management,管理學工商管理(榮譽)學士,Business and Management,商業及管理,4
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Honours) in Marketing,市場學工商管理(榮譽)學士,Business and Management,商業及管理,4
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Honours) in Professional Accountancy,專業會計學工商管理(榮譽)學士,Business and Management,商業及管理,4
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Honours) in Supply Chain Management,供應鏈管理工商管理(榮譽)學士,Business and Management,商業及管理,4
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Journalism and Communication (Honours),新聞及傳播 (榮譽) 學士,"Mass Media and Communications, Journalism and Public Relations",大眾傳媒及傳播、新聞及公共關係,4
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Management Science and Information Management (Honours),管理科學與資訊管理(榮譽)學士,Business and Management,商業及管理,4
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science (Honours) in Actuarial Studies and Insurance,精算及保險(榮譽)理學士,Sciences,理學科,4
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science (Honours) in Applied Computing,計算機應用(榮譽)理學士,Computer Science and Information Technology,電腦科學及資訊科技,4
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science (Honours) in Data Science and Business Intelligence,數據科學及商業智能學(榮譽)理學士,Sciences,理學科,4
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Sciences (Honours) in Asian Studies,亞洲研究(榮譽)社會科學學士,Social Sciences,社會科學,4
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Degree,學士學位,Bachelor's Degree,學士學位課程,"Bachelor of Social Sciences (Honours) in Philosophy, Politics and Economics",哲學、政治與經濟（榮譽）社會科學學士,Humanities,人文科學,4
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Translation with Business (Honours),商務翻譯 (榮譽) 學士,Languages and Related Studies,語言及相關科目,4
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Art and Design- Year 2 Entry,藝術設計（榮譽）文學士-第二年,"Arts, Design and Performing Arts",藝術、設計、表演藝術,3
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Art and Design- Year 3 Entry,藝術設計（榮譽）文學士-第三年,"Arts, Design and Performing Arts",藝術、設計、表演藝術,2
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Chinese - Year 3 Entry,中文(榮譽)文學士 - 第三年,Languages and Related Studies,語言及相關科目,2
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Convergent Media and Communication Technology - Year 2 Entry,融合媒體及傳播科技(榮譽)文學士-第二年,"Mass Media and Communications, Journalism and Public Relations",大眾傳媒及傳播、新聞及公共關係,3
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Convergent Media and Communication Technology - Year 3 Entry,融合媒體及傳播科技(榮譽)文學士-第三年,"Mass Media and Communications, Journalism and Public Relations",大眾傳媒及傳播、新聞及公共關係,2
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Cultural and Creative Industries - Year 2 Entry,文化及創意產業(榮譽)文學士 - 第二年,"Arts, Design and Performing Arts",藝術、設計、表演藝術,3
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Cultural and Creative Industries - Year 3 Entry,文化及創意產業(榮譽)文學士 - 第三年,"Arts, Design and Performing Arts",藝術、設計、表演藝術,2
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in English - Year 2 Entry,英國語文(榮譽)學士 - 第二年,Languages and Related Studies,語言及相關科目,3
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in English - Year 3 Entry,英國語文(榮譽)學士 - 第三年,Languages and Related Studies,語言及相關科目,2
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Psychology - Year 3 Entry,心理學（榮譽）文學士 - 第三年,Humanities,人文科學,2
2023/24,The Hang Seng University of Hong Kong,香港恒生大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Honours) in Corporate Governance and Compliance - Year 2 Entry,企業管治與合規工商管理(榮譽)學士-第二年,Business and Management,商業及管理,3
