Academic Year,Institution (English),Institution (Chinese),Level of study (English),Level of study (Chinese),Programme type (English),Programme type (Chinese),Programme name (English),Programme name (Chinese),Areas of Study,Areas of Study (Chinese),Normal programme duration
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大學專業進修學院保良局何鴻燊社區書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma for Legal Executives,法律行政人員高級文憑,Law,法律,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大學專業進修學院保良局何鴻燊社區書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Accounting - Accounting and Banking,會計學高級文憑 - 會計及銀行,Business and Management,商業及管理,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大學專業進修學院保良局何鴻燊社區書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Accounting - Accounting and Financial Planning,會計學高級文憑 - 會計及財務策劃,Business and Management,商業及管理,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大學專業進修學院保良局何鴻燊社區書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Accounting - Accounting Studies,會計學高級文憑 - 會計學,Business and Management,商業及管理,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大學專業進修學院保良局何鴻燊社區書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Applied Health and Rehabilitation Care,應用健康及康復護理高級文憑,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大學專業進修學院保良局何鴻燊社區書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Applied Intelligent Technologies,應用智能科技高級文憑,Computer Science and Information Technology,電腦科學及資訊科技,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大學專業進修學院保良局何鴻燊社區書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Business Management - Human Resource Management,商業管理學高級文憑 - 人力資源管理學,Business and Management,商業及管理,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大學專業進修學院保良局何鴻燊社區書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Business Management - Management and e-Commerce,商業管理學高級文憑 - 管理及電子商務學,Business and Management,商業及管理,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大學專業進修學院保良局何鴻燊社區書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Business Management - Management and Psychology,商業管理學高級文憑 - 管理及心理學,Business and Management,商業及管理,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大學專業進修學院保良局何鴻燊社區書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Business Management - Management Studies,商業管理學高級文憑 - 管理學,Business and Management,商業及管理,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大學專業進修學院保良局何鴻燊社區書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Business Management - Management with Business Law,商業管理學高級文憑 - 管理及商業法律學,Business and Management,商業及管理,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大學專業進修學院保良局何鴻燊社區書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Food Health and Business Management,食品健康及商業管理學高級文憑,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大學專業進修學院保良局何鴻燊社區書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Health and Social Care,社康照顧高級文憑,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大學專業進修學院保良局何鴻燊社區書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Hotel Management,酒店管理高級文憑,Services,服務,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大學專業進修學院保良局何鴻燊社區書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Medical and Health Products Management,醫療及保健產品管理高級文憑,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大學專業進修學院保良局何鴻燊社區書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Nutrition and Food Management - Food and Nutritional Sciences,營養及食品管理高級文憑 - 食物及營養科學,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大學專業進修學院保良局何鴻燊社區書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Nutrition and Food Management - Food Science and Safety,營養及食品管理高級文憑 - 食物科學及食品安全,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,2
