学年,院校(英文),院校(中文),学科级别(英文),学科级别(中文),课程类别(英文),课程类别(中文),课程名称(英文),课程名称(中文),学习范畴(英文),学习范畴(中文),一般修业期
2023/24,Gratia Christian College,宏恩基督教学院,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Psychology (Honours) - Year 3 Entry,心理学荣誉学士 - 三年级入学,Social Sciences,社会科学,2
2023/24,Gratia Christian College,宏恩基督教学院,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Service Management (Honours) - Year 3 Entry,服务管理荣誉学士 - 三年级入学,Business and Management,商业及管理,2
2023/24,Gratia Christian College,宏恩基督教学院,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Social Work (Honours)  - Year 3 Entry,社会工作荣誉学士 - 三年级入学,Social Sciences,社会科学,2
2023/24,HKCT Institute of Higher Education,港专学院,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Social Sciences (Hons) in Social Work,社会工作(荣誉)社会科学学士,Social Sciences,社会科学,4
2023/24,HKCT Institute of Higher Education,港专学院,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Social Sciences (Hons) in Sports Management with Coaching,运动管理及训练(荣誉)社会科学学士,Social Sciences,社会科学,4
2023/24,HKCT Institute of Higher Education,港专学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Early Childhood Education (Inclusive Education),幼儿教育高级文凭 (融合教育),Education,教育,2
2023/24,HKCT Institute of Higher Education,港专学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,"Higher Diploma in Fitness, Coaching and Sports Management",体适能、教练及运动管理高级文凭,Services,服务,2
2023/24,HKCT Institute of Higher Education,港专学院,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Social Sciences (Honours) in Sports Management with Coaching (Senior Year entry),运动管理及训练(荣誉)社会科学学士 (高年级入学),Social Sciences,社会科学,2
2023/24,HKCT Institute of Higher Education,港专学院,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Social Sciences (Hons) in Social Work (Year 3 entry),社会工作(荣誉)社会科学学士 (第三年入学),Social Sciences,社会科学,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大学专业进修学院保良局何鸿燊小区书院,Sub-degree,副学位,Associate Degree,副学士学位课程,"Associate of Applied Social Sciences in Communication, Public Relations and Journalism",应用社会科学副学士(传理、公关及新闻),"Mass Media and Communications, Journalism and Public Relations",大众传媒及传播、新闻及公共关系,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大学专业进修学院保良局何鸿燊小区书院,Sub-degree,副学位,Associate Degree,副学士学位课程,Associate of Applied Social Sciences in Criminal Justice and Law Enforcement,应用社会科学副学士(刑事司法及执法),Social Sciences,社会科学,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大学专业进修学院保良局何鸿燊小区书院,Sub-degree,副学位,Associate Degree,副学士学位课程,Associate of Applied Social Sciences in Psychology,应用社会科学副学士(心理学),Social Sciences,社会科学,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大学专业进修学院保良局何鸿燊小区书院,Sub-degree,副学位,Associate Degree,副学士学位课程,Associate of Applied Social Sciences in Youth and Social Services,应用社会科学副学士(青年与社会服务),Social Sciences,社会科学,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大学专业进修学院保良局何鸿燊小区书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma for Legal Executives,法律行政人员高级文凭,Law,法律,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大学专业进修学院保良局何鸿燊小区书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Accounting - Accounting and Banking,会计学高级文凭 - 会计及银行,Business and Management,商业及管理,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大学专业进修学院保良局何鸿燊小区书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Accounting - Accounting and Financial Planning,会计学高级文凭 - 会计及财务策划,Business and Management,商业及管理,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大学专业进修学院保良局何鸿燊小区书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Accounting - Accounting Studies,会计学高级文凭 - 会计学,Business and Management,商业及管理,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大学专业进修学院保良局何鸿燊小区书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Applied Health and Rehabilitation Care,应用健康及康复护理高级文凭,"Medicine, Dentistry and Health Sciences",医科、牙医学及健康科学,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大学专业进修学院保良局何鸿燊小区书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Applied Intelligent Technologies,应用智能科技高级文凭,Computer Science and Information Technology,计算机科学及信息科技,2
