序号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
108,2016,浙商银行,2.21,0.01,0.45,2.2,2.22,2.2,2.2,1275000,2811852.0
109,1766,中国中车,4.59,0.02,0.44,4.56,4.67,4.54,4.57,21083531,96879239.0
110,2314,理文造纸,2.31,0.01,0.43,2.31,2.33,2.27,2.3,2216000,5079450.0
111,135,昆仑能源,7.3,0.03,0.41,7.23,7.32,7.2,7.27,12151418,88562534.0
112,535,金地商置,0.246,0.001,0.41,0.246,0.246,0.24,0.245,7132000,1733382.0
113,1112,H&H国际控股,10.08,0.04,0.4,10.02,10.18,9.91,10.04,457000,4605870.0
114,1070,TCL电子,5.13,0.02,0.39,5.19,5.19,4.97,5.11,8900752,45273099.0
115,363,上海实业控股,10.64,0.04,0.38,10.5,10.64,10.5,10.6,491000,5191965.0
116,941,中国移动,69.0,0.25,0.36,68.7,69.4,68.2,68.75,13593373,936509376.0
117,921,海信家电,30.2,0.1,0.33,30.2,30.4,28.9,30.1,2047039,60969815.0
118,1787,山东黄金,18.18,0.06,0.33,18.0,18.68,17.84,18.12,13379350,243705310.0
119,2057,中通快递-W,155.3,0.5,0.32,159.9,159.9,154.0,154.8,1599300,248847834.0
120,639,首钢资源,3.12,0.01,0.32,3.11,3.19,3.11,3.11,6530759,20534245.0
121,3988,中国银行,3.36,0.01,0.3,3.33,3.38,3.28,3.35,775998976,2590960128.0
122,754,合生创展集团,3.41,0.01,0.29,3.4,3.41,3.34,3.4,824200,2774254.0
123,1,长和,35.85,0.1,0.28,35.85,35.95,35.45,35.75,5806276,207603855.0
124,1839,中集车辆,7.42,0.02,0.27,7.42,7.48,7.4,7.4,1073000,7980535.0
125,3899,中集安瑞科,7.92,0.02,0.25,7.9,7.96,7.8,7.9,3664000,28950358.0
126,598,中国外运,4.03,0.01,0.25,4.02,4.11,3.98,4.02,11011000,44368149.0
127,1658,邮储银行,4.05,0.01,0.25,4.0,4.08,3.97,4.04,43898718,177547732.0
128,1797,东方甄选,16.38,0.04,0.24,16.2,16.86,16.0,16.34,11778837,193523829.0
129,2157,乐普生物-B,4.31,0.01,0.23,3.99,4.55,3.99,4.3,2780000,12107840.0
130,570,中国中药,4.32,0.01,0.23,4.32,4.33,4.3,4.31,19768000,85195280.0
131,998,中信银行,4.39,0.01,0.23,4.37,4.43,4.32,4.38,46064619,201550435.0
132,2899,紫金矿业,17.74,0.04,0.23,17.7,18.34,17.5,17.7,45188264,808121664.0
133,392,北京控股,23.75,0.05,0.21,23.7,23.95,23.5,23.7,1354134,32196920.0
134,3933,联邦制药,9.59,0.02,0.21,9.53,9.66,9.4,9.57,2226388,21206859.0
135,939,建设银行,4.87,0.01,0.21,4.84,4.89,4.81,4.86,369341424,1794718000.0
136,855,中国水务,4.88,0.01,0.21,4.9,4.9,4.79,4.87,964000,4670800.0
137,1876,百威亚太,10.04,0.02,0.2,10.0,10.14,9.73,10.02,11719500,116779287.0
138,9890,中旭未来,26.0,0.05,0.19,25.95,26.35,24.65,25.95,518000,13145134.0
139,688,中国海外发展,11.52,0.02,0.17,11.5,11.6,11.24,11.5,18564608,212383003.0
140,11,恒生银行,96.05,0.15,0.16,95.8,96.4,93.9,95.9,1964396,187373668.0
141,3606,福耀玻璃,41.6,0.05,0.12,41.25,41.8,40.85,41.55,1738547,72096074.0
142,1038,长江基建集团,42.6,0.05,0.12,42.55,42.65,42.0,42.55,1739741,73669691.0
143,19,太古股份公司A,60.8,0.05,0.08,60.35,61.25,59.75,60.75,887449,53873396.0
144,9996,沛嘉医疗-B,0.0,0.0,0.0,0.0,0.0,0.0,3.66,0,0.0
145,9987,百胜中国,289.2,0.0,0.0,293.0,293.0,285.8,289.2,422875,121881585.0
146,9956,安能物流,4.83,0.0,0.0,4.8,4.89,4.77,4.83,659500,3179296.0
147,6837,海通证券,3.54,0.0,0.0,3.52,3.57,3.5,3.54,6141571,21680433.0
148,6806,申万宏源,1.4,0.0,0.0,1.39,1.4,1.38,1.4,1667200,2315352.0
149,6689,洪九果品,0.0,0.0,0.0,0.0,0.0,0.0,1.74,0,0.0
150,6606,诺辉健康,0.0,0.0,0.0,0.0,0.0,0.0,14.14,0,0.0
151,6088,FIT HON TENG,1.97,0.0,0.0,1.97,1.97,1.86,1.97,12074523,23128058.0
152,3613,同仁堂国药,9.03,0.0,0.0,8.98,9.08,8.95,9.03,502000,4518807.0
153,3360,远东宏信,5.56,0.0,0.0,5.51,5.58,5.46,5.56,4016237,22200538.0
154,2880,辽港股份,0.6,0.0,0.0,0.6,0.6,0.59,0.6,704400,422042.0
155,2171,科济药业-B,4.5,0.0,0.0,4.51,4.54,4.3,4.5,787500,3521730.0
156,2007,碧桂园,0.0,0.0,0.0,0.0,0.0,0.0,0.485,0,0.0
