序号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
157,1908,建发国际集团,13.44,0.0,0.0,13.34,13.64,13.34,13.44,2245335,30384089.0
158,1635,大众公用,1.22,0.0,0.0,1.2,1.22,1.2,1.22,42000,50670.0
159,1528,红星美凯龙,1.39,0.0,0.0,1.38,1.41,1.38,1.39,649200,905780.0
160,1398,工商银行,4.11,0.0,0.0,4.09,4.12,4.06,4.11,285009808,1167573328.0
161,1361,361度,4.46,0.0,0.0,4.47,4.47,4.27,4.46,3051000,13306334.0
162,1349,复旦张江,2.08,0.0,0.0,2.1,2.08,2.05,2.08,391000,809920.0
163,1336,新华保险,13.58,0.0,0.0,13.58,13.68,13.4,13.58,2637211,35736893.0
164,1186,中国铁建,4.97,0.0,0.0,4.97,5.0,4.91,4.97,5683500,28164130.0
165,1117,现代牧业,0.63,0.0,0.0,0.63,0.63,0.62,0.63,731000,457700.0
166,1108,凯盛新能,5.21,0.0,0.0,5.18,5.21,5.15,5.21,134000,693840.0
167,1053,重庆钢铁股份,0.6,0.0,0.0,0.6,0.6,0.58,0.6,2594000,1525400.0
168,992,联想集团,8.2,0.0,0.0,8.12,8.25,7.99,8.2,37052252,301814128.0
169,991,大唐发电,1.49,0.0,0.0,1.48,1.49,1.45,1.49,26241926,38494989.0
170,973,L'OCCITANE,0.0,0.0,0.0,0.0,0.0,0.0,29.5,0,0.0
171,914,海螺水泥,17.34,0.0,0.0,17.38,17.44,17.16,17.34,6777015,117334262.0
172,902,华能国际电力股份,4.97,0.0,0.0,4.95,4.98,4.82,4.97,56068591,274443728.0
173,546,阜丰集团,5.14,0.0,0.0,5.1,5.23,5.09,5.14,4800201,24833579.0
174,460,四环医药,0.51,0.0,0.0,0.52,0.52,0.5,0.51,6486000,3302380.0
175,410,SOHO中国,0.65,0.0,0.0,0.65,0.65,0.63,0.65,1319000,849060.0
176,272,瑞安房地产,0.66,0.0,0.0,0.67,0.67,0.65,0.66,2840500,1869462.0
177,136,中国儒意,1.67,0.0,0.0,1.67,1.68,1.61,1.67,34769277,57042439.0
178,120,COSMOPOL INT'L,0.62,0.0,0.0,0.63,0.64,0.59,0.62,3183600,1935486.0
179,16,新鸿基地产,70.0,0.0,0.0,70.1,70.3,68.6,70.0,3418687,237807156.0
180,8,电讯盈科,3.85,0.0,0.0,3.86,3.87,3.84,3.85,4633180,17826697.0
181,9676,十月稻田,19.98,-0.02,-0.1,20.0,20.0,19.16,20.0,42300,834168.0
182,177,江苏宁沪高速公路,7.9,-0.01,-0.13,7.92,8.01,7.88,7.91,2175276,17239066.0
183,2313,申洲国际,73.25,-0.1,-0.14,71.0,73.9,71.0,73.35,5839611,426451760.0
184,2487,科笛-B,6.73,-0.01,-0.15,6.8,6.86,6.53,6.74,54000,359522.0
185,2402,亿华通,32.15,-0.05,-0.16,31.75,35.2,31.55,32.2,365750,12104147.0
186,1113,长实集团,31.1,-0.05,-0.16,31.1,31.2,30.7,31.15,4247654,131549209.0
187,6030,中信证券,11.16,-0.02,-0.18,11.12,11.28,11.04,11.18,11316505,126388841.0
188,1244,3D MEDICINES,5.56,-0.01,-0.18,5.63,5.63,5.35,5.57,519500,2838545.0
189,3328,交通银行,5.33,-0.01,-0.19,5.34,5.35,5.28,5.34,18382196,97809585.0
190,9923,移卡,10.34,-0.02,-0.19,10.4,10.7,10.06,10.36,256000,2606384.0
191,700,腾讯控股,303.8,-0.6,-0.2,303.4,305.4,299.6,304.4,19472600,5891457536.0
