股票代码,股票简称,关注,最新价
SH600703,三安光电,4658,11.35
SZ002036,联创电子,4651,6.88
SZ002156,通富微电,4637,19.67
SZ002031,巨轮智能,4631,3.1
SZ002536,飞龙股份,4630,11.58
SZ300456,赛微电子,4630,18.32
SZ001979,招商蛇口,4621,7.58
SZ300999,金龙鱼,4606,29.81
SZ300001,特锐德,4597,19.68
SZ300146,汤臣倍健,4555,15.37
SH601728,中国电信,4528,6.08
SH688235,百济神州-U,4496,124.79
SZ300114,中航电测,4457,41.05
SZ000681,视觉中国,4453,12.79
SZ002271,东方雨虹,4430,12.82
SH600585,海螺水泥,4428,22.36
SH601162,天风证券,4408,2.85
SH601901,方正证券,4402,8.11
SH601698,中国卫通,4394,15.27
SH688297,中无人机,4377,39.69
SZ300459,汤姆猫,4371,3.85
SH603536,惠发食品,4369,9.33
SZ300002,神州泰岳,4350,9.47
SZ002602,世纪华通,4336,4.14
SZ002317,众生药业,4328,14.21
SH600028,中国石化,4327,6.48
SZ300533,冰川网络,4316,18.91
SH600256,广汇能源,4314,7.3
SH688007,光峰科技,4314,19.16
SZ002315,焦点科技,4314,32.8
SZ000712,锦龙股份,4299,10.17
SZ300093,金刚光伏,4289,13.7
SZ000792,盐湖股份,4271,16.39
SZ000338,潍柴动力,4267,17.77
SZ002559,亚威股份,4264,9.22
SH601933,永辉超市,4243,2.18
SZ300094,国联水产,4231,3.17
SH600938,中国海油,4227,28.66
SH603799,华友钴业,4210,27.48
SH600795,国电电力,4174,5.05
SZ300475,香农芯创,4138,35.34
SZ001287,中电港,4097,17.58
SH600309,万华化学,4088,84.42
SZ000069,华侨城A,4073,2.38
SZ002354,天娱数科,4070,4.05
SH603005,晶方科技,4067,16.45
SZ002567,唐人神,4053,5.58
SH600602,云赛智联,4048,12.02
SZ002236,大华股份,4033,17.09
SH600186,莲花健康,4029,4.21
SZ000721,西安饮食,4028,8.43
SZ300031,宝通科技,4006,12.6
SH603629,利通电子,3999,23.8
SZ300223,北京君正,3997,62.43
SZ002507,涪陵榨菜,3992,12.86
SH605577,龙版传媒,3988,17.88
SZ000876,新希望,3961,9.15
SZ300003,乐普医疗,3947,13.75
SZ300846,首都在线,3943,10.58
SH603662,柯力传感,3915,30.28
SH601390,中国中铁,3914,6.89
