时间,前值,现值,发布日期
2022年11月,31.49619223,-133.40513527,2022-12-29
2022年12月,-133.40513527,-57.68326566,2023-01-26
2023年01月,-57.68326566,-481.66365824,2023-02-27
2023年02月,-481.66365824,-41.28877538,2023-03-27
2023年03月,-41.28877538,-8.94476947,2023-04-26
2023年04月,-8.94476947,0.01913509,2023-05-29
2023年05月,0.01913509,28.01908657,2023-06-27
2023年06月,28.01908657,17.4499876,2023-07-25
2023年07月,17.4499876,-8.83356319,2023-08-24
2023年08月,-8.83356319,-92.94330519,2023-09-26
2023年09月,-92.94330519,-43.76669635,2023-10-26
2023年10月,-43.76669635,-23.39834204,2023-11-27
2023年11月,-23.39834204,-3.05659124,2023-12-28
2023年12月,-3.05659124,-15.9082988,2024-01-25
2024年01月,-15.9082988,114.35778189,2024-02-27
2024年02月,114.35778189,8.18692825,2024-03-26
