商品,日期,今值,预测值,前值
美国耐用品订单月率报告,2018-09-27,4.5,1.9,-1.2
美国耐用品订单月率报告,2018-10-25,0.8,-1.3,4.6
美国耐用品订单月率报告,2018-11-21,-4.4,-2.2,-0.1
美国耐用品订单月率报告,2018-12-21,0.8,1.6,-4.3
美国耐用品订单月率报告,2019-02-21,1.2,0.8,1.0
美国耐用品订单月率报告,2019-03-13,0.4,-0.5,1.3
美国耐用品订单月率报告,2019-04-02,-1.6,-1.1,0.1
美国耐用品订单月率报告,2019-04-25,2.7,0.7,-1.1
美国耐用品订单月率报告,2019-05-24,-2.1,-2.0,1.7
美国耐用品订单月率报告,2019-06-26,-1.3,0.0,-2.8
美国耐用品订单月率报告,2019-07-25,2.0,0.8,-2.3
美国耐用品订单月率报告,2019-08-26,2.1,1.1,1.8
美国耐用品订单月率报告,2019-09-05,2.0,,2.1
美国耐用品订单月率报告,2019-09-27,0.2,-1.1,2.0
美国耐用品订单月率报告,2019-10-24,-1.1,-0.5,0.3
美国耐用品订单月率报告,2019-11-27,0.6,-0.5,-1.4
美国耐用品订单月率报告,2019-12-23,-2.0,1.5,0.2
美国耐用品订单月率报告,2019-12-24,,1.9,0.6
美国耐用品订单月率报告,2020-01-28,2.4,0.4,-3.1
美国耐用品订单月率报告,2020-02-27,-0.2,-1.5,2.9
美国耐用品订单月率报告,2020-03-25,1.2,-0.8,0.1
美国耐用品订单月率报告,2020-04-24,-14.4,-11.9,1.1
美国耐用品订单月率报告,2020-05-28,-17.2,-19.0,-16.6
美国耐用品订单月率报告,2020-06-25,15.8,10.9,-18.1
美国耐用品订单月率报告,2020-07-27,7.3,7.2,15.1
美国耐用品订单月率报告,2020-08-26,11.2,4.3,7.7
美国耐用品订单月率报告,2020-09-25,0.4,1.5,11.7
美国耐用品订单月率报告,2020-10-27,1.9,0.5,0.4
美国耐用品订单月率报告,2020-11-25,1.3,0.9,2.1
美国耐用品订单月率报告,2020-12-23,0.9,0.6,1.8
美国耐用品订单月率报告,2020-12-24,,0.7,1.3
美国耐用品订单月率报告,2021-01-27,0.2,0.9,1.2
美国耐用品订单月率报告,2021-02-25,3.4,1.1,1.2
美国耐用品订单月率报告,2021-03-24,-1.1,0.8,3.5
美国耐用品订单月率报告,2021-04-26,0.5,2.5,-0.9
美国耐用品订单月率报告,2021-05-27,-1.3,0.7,1.3
美国耐用品订单月率报告,2021-06-24,2.3,2.8,-0.8
美国耐用品订单月率报告,2021-07-27,0.8,2.1,3.2
美国耐用品订单月率报告,2021-08-25,-0.1,-0.3,0.8
美国耐用品订单月率报告,2021-09-27,1.8,0.7,0.5
美国耐用品订单月率报告,2021-10-27,-0.4,-1.1,1.3
美国耐用品订单月率报告,2021-11-24,-0.5,0.2,-0.4
美国耐用品订单月率报告,2021-12-23,2.5,1.6,0.1
美国耐用品订单月率报告,2022-01-27,-0.9,-0.5,3.2
美国耐用品订单月率报告,2022-02-25,1.6,0.8,1.2
美国耐用品订单月率报告,2022-03-24,-2.2,-0.5,1.6
美国耐用品订单月率报告,2022-04-26,0.8,1.0,-1.7
美国耐用品订单月率报告,2022-05-25,0.4,0.6,0.6
美国耐用品订单月率报告,2022-06-27,0.7,0.1,0.4
美国耐用品订单月率报告,2022-07-27,1.9,-0.5,0.8
美国耐用品订单月率报告,2022-08-24,0.0,0.6,2.0
美国耐用品订单月率报告,2022-09-27,-0.2,-0.4,-0.1
美国耐用品订单月率报告,2022-10-27,0.4,0.6,0.2
美国耐用品订单月率报告,2022-11-23,1.0,0.4,0.3
美国耐用品订单月率报告,2022-12-23,-2.1,-0.6,0.7
美国耐用品订单月率报告,2023-01-26,5.6,2.5,-1.7
美国耐用品订单月率报告,2023-02-27,-4.5,-4.0,5.1
美国耐用品订单月率报告,2023-03-24,-1.0,0.6,-5.0
美国耐用品订单月率报告,2023-04-26,3.2,0.7,-1.2
美国耐用品订单月率报告,2023-05-26,1.1,-1.0,3.3
美国耐用品订单月率报告,2023-06-27,1.7,-1.0,1.2
美国耐用品订单月率报告,2023-07-27,4.7,1.0,2.0
美国耐用品订单月率报告,2023-08-24,-5.2,-4.0,4.4
美国耐用品订单月率报告,2023-09-27,0.2,-0.5,-5.6
美国耐用品订单月率报告,2023-10-26,4.7,1.7,-0.1
美国耐用品订单月率报告,2023-11-22,-5.4,-3.1,4.0
美国耐用品订单月率报告,2023-12-22,5.4,1.7,-5.1
美国耐用品订单月率报告,2024-01-25,0.0,1.1,5.5
美国耐用品订单月率报告,2024-02-27,-6.1,-4.9,-0.3
美国耐用品订单月率报告,2024-03-26,1.4,1.2,-6.9
美国耐用品订单月率报告,2024-04-24,,2.5,1.3
