序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
538,688506,百利天恒-U,119.13,2.5,2.91,5745.0,68355970.0,6.87,121.87,113.89,116.57,116.22,0.78,0.64,-62.54,283.57,47771130000.0,10775426439.0,-0.41,-0.09,-7.29,-14.85
539,688191,智洋创新,16.05,2.49,0.39,30435.0,48400766.0,5.04,16.19,15.4,15.87,15.66,0.79,1.98,59.32,2.84,2463876379.0,2463876379.0,0.19,0.44,-5.42,-13.24
540,2778,中晟高科,10.71,2.49,0.26,51631.0,56116936.8,7.27,11.41,10.65,10.75,10.45,0.78,4.18,-46.49,2.4,1336107843.0,1321949116.0,-0.09,-0.09,-28.07,-28.7
541,688528,秦川物联,7.43,2.48,0.18,19216.0,14048078.0,11.03,7.7,6.9,7.23,7.25,1.24,1.14,-21.64,1.8,1248240000.0,1248240000.0,-0.27,-0.54,-31.9,-32.76
542,603004,鼎龙科技,19.82,2.48,0.48,69457.0,137214991.0,7.19,20.5,19.11,19.39,19.34,0.97,12.04,28.9,2.53,4668006400.0,1143606211.0,-0.1,-0.35,-29.94,-44.94
543,600550,保变电气,4.14,2.48,0.1,234517.0,96850410.0,4.7,4.21,4.02,4.09,4.04,1.08,1.27,-37.04,15.03,7623927907.0,7623927907.0,0.0,0.0,-13.75,-15.16
544,603000,人民网,24.57,2.46,0.59,416138.0,1026111987.0,5.21,25.15,23.9,24.4,23.98,1.34,3.76,82.01,7.29,27166829246.0,27166829246.0,-0.12,-0.2,0.37,-12.19
545,600654,ST中安,2.5,2.46,0.06,70979.0,17694642.0,4.92,2.54,2.42,2.43,2.44,0.84,0.31,79.47,4.5,7158300000.0,5705055405.0,0.0,0.0,4.6,3.73
546,601121,宝地矿业,6.68,2.45,0.16,172633.0,113218935.0,4.75,6.71,6.4,6.5,6.52,0.49,6.26,28.64,1.76,5344000000.0,1841738471.0,0.0,0.6,-3.19,-5.38
547,300469,信息发展,11.69,2.45,0.28,187802.0,219268509.7,11.57,12.2,10.88,11.34,11.41,0.86,7.98,-32.92,4.17,2901911853.0,2752398576.0,-0.09,-0.85,-11.64,-20.58
548,2892,科力尔,12.95,2.45,0.31,252010.0,325262466.27,6.33,13.24,12.44,12.78,12.64,1.68,9.15,101.75,4.54,5751736090.0,3567943531.0,-0.08,-0.31,-12.08,-19.52
549,688329,艾隆科技,17.97,2.45,0.43,17689.0,31943424.0,6.04,18.55,17.49,17.55,17.54,1.39,3.27,51.06,1.74,1387284000.0,972985650.0,0.11,0.22,-21.77,-27.72
550,300001,特锐德,19.73,2.44,0.47,139454.0,273570635.17,4.1,19.86,19.07,19.26,19.26,1.37,1.36,70.41,3.21,20832861877.0,20281380894.0,0.15,-0.05,-3.24,-1.84
551,601058,赛轮轮胎,16.8,2.44,0.4,414751.0,697692844.0,5.24,17.14,16.28,16.38,16.4,1.34,1.26,20.46,4.04,55240084351.0,55240084351.0,0.18,0.12,38.96,42.98
552,2708,光洋股份,7.99,2.44,0.19,342487.0,275770521.63,5.38,8.27,7.85,7.85,7.8,1.32,8.29,-53.63,2.58,4491162756.0,3299897733.0,0.13,0.38,-20.1,-3.5
553,2829,星网宇达,20.19,2.44,0.48,91719.0,186359342.9,6.95,20.99,19.62,19.9,19.71,1.2,6.39,27.71,2.1,4195671665.0,2895762299.0,0.0,0.1,-16.71,-25.33
554,601456,国联证券,10.55,2.43,0.25,678941.0,715708195.0,4.85,10.76,10.26,10.3,10.3,1.56,2.84,44.5,1.68,29875206922.0,25205354922.0,0.09,0.19,5.82,-2.68
555,2621,美吉姆,1.69,2.42,0.04,429126.0,71589599.71,10.91,1.74,1.56,1.65,1.65,1.25,5.35,-6.82,3.82,1389582102.0,1355972587.0,0.0,0.0,-47.68,-46.18
556,691,亚太实业,3.38,2.42,0.08,105653.0,35543195.0,5.45,3.43,3.25,3.34,3.3,0.99,3.27,-9.62,19.25,1092652600.0,1092652600.0,0.6,0.3,-36.11,-33.33
557,688287,观典防务,8.47,2.42,0.2,104753.0,89681700.0,6.29,8.77,8.25,8.34,8.27,1.56,2.83,38.43,2.95,3138267132.0,3138267132.0,-0.24,-0.35,-9.22,-14.18
558,838171,邦德股份,11.89,2.41,0.28,12764.0,15463017.57,7.24,12.52,11.68,11.75,11.61,1.78,2.46,16.46,2.8,1414077700.0,617096921.0,0.08,0.08,-10.13,-32.6
559,300832,新产业,64.34,2.4,1.51,64848.0,416186922.42,9.06,66.5,60.81,62.38,62.83,1.33,0.93,30.57,6.7,50553146627.0,44933327763.0,-0.42,-0.11,-12.56,-17.72
560,688007,光峰科技,19.61,2.4,0.46,101684.0,197042720.0,7.31,19.95,18.55,18.95,19.15,1.04,2.2,88.96,3.22,9071691463.0,9071691463.0,-0.1,-0.41,-13.5,-24.23
